RBB 20: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=22
RBB 21: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=22
RBB 19: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=26
RBB 30: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=24
RBB 31: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=26
RBB 32: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=28
RBB 33: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=28
RBB 29: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=22
RBB 28: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=26
RBB 22: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=20
RBB 25: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=20
RBB 26: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=18
RBB 27: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=22
RBB 34: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=20
RBB 23: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=24
RBB 24: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=24
RBB 0: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=25
RBB 1: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=26
RBB 2: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=27
RBB 3: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=28
RBB 4: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=30
RBB 5: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=31
RBB 6: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=30
RBB 7: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=31
RBB 8: chip_tile_x=0, chip_tile_y=0, chip_x=2, chip_y=30
RBB 9: chip_tile_x=0, chip_tile_y=0, chip_x=2, chip_y=31
RBB 10: chip_tile_x=0, chip_tile_y=0, chip_x=3, chip_y=30
RBB 11: chip_tile_x=0, chip_tile_y=0, chip_x=3, chip_y=31
RBB 12: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=30
RBB 13: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=31
RBB 14: chip_tile_x=0, chip_tile_y=0, chip_x=5, chip_y=30
RBB 15: chip_tile_x=0, chip_tile_y=0, chip_x=5, chip_y=31
RBB 16: chip_tile_x=0, chip_tile_y=0, chip_x=6, chip_y=30
RBB 17: chip_tile_x=0, chip_tile_y=0, chip_x=31, chip_y=6
RBB 18: chip_tile_x=0, chip_tile_y=0, chip_x=31, chip_y=10
